numbre CCs detected (background including): 168
Component_49 =>Avion 255.678 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751288 | Symbole 1 104.491 | Symbole 2 107.993 | Symbole 3 108.443 | Symbole 4 153.414 | Symbole 5 256.722 | Symbole 6 255.869 |  => 0.751288 => Rectangle V Empty
Component_50 =>Avion 255.678 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751288 | Symbole 1 104.491 | Symbole 2 107.993 | Symbole 3 108.443 | Symbole 4 153.414 | Symbole 5 256.722 | Symbole 6 255.869 |  => 0.751288 => Rectangle V Empty
Component_51 =>Avion 255.678 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751288 | Symbole 1 104.491 | Symbole 2 107.993 | Symbole 3 108.443 | Symbole 4 153.414 | Symbole 5 256.722 | Symbole 6 255.869 |  => 0.751288 => Rectangle V Empty
Component_52 =>Avion 255.678 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751288 | Symbole 1 104.491 | Symbole 2 107.993 | Symbole 3 108.443 | Symbole 4 153.414 | Symbole 5 256.722 | Symbole 6 255.869 |  => 0.751288 => Rectangle V Empty
Component_53 =>Avion 94.8743 | Cercle 4.68379 | Demi Cercle 20.6068 | double fleche 92.3702 | fleche 39.1288 | Rectangle 3D 72.9697 | Rectangle H 3.5387 | Rectangle V 99.6245 | Rectangle V Empty 0.24962 | Symbole 1 46.1883 | Symbole 2 55.971 | Symbole 3 19.2946 | Symbole 4 10.2708 | Symbole 5 95.4364 | Symbole 6 94.7812 |  => 0.24962 => Rectangle V Empty
Component_54 =>Avion 57.459 | Cercle 1.97616 | Demi Cercle 13.574 | double fleche 55.1976 | fleche 8.09692 | Rectangle 3D 35.5442 | Rectangle H 21.034 | Rectangle V 61.05 | Rectangle V Empty 42.2187 | Symbole 1 61.05 | Symbole 2 61.05 | Symbole 3 59.7843 | Symbole 4 33.6586 | Symbole 5 58.9018 | Symbole 6 56.9928 |  => 1.97616 => Cercle
Component_55 =>Avion 56.9928 | Cercle 8.50882 | Demi Cercle 8.7518 | double fleche 69.2759 | fleche 17.0048 | Rectangle 3D 51.4668 | Rectangle H 0 | Rectangle V 78.1537 | Rectangle V Empty 24.836 | Symbole 1 69.1879 | Symbole 2 76.0633 | Symbole 3 42.2102 | Symbole 4 17.2657 | Symbole 5 74.7333 | Symbole 6 73.6136 |  => 0 => Rectangle H
Component_56 =>Avion 73.6136 | Cercle 2.64806 | Demi Cercle 69.3005 | double fleche 141.581 | fleche 88.047 | Rectangle 3D 121.811 | Rectangle H 52.9629 | Rectangle V 148.587 | Rectangle V Empty 51.0463 | Symbole 1 0.257048 | Symbole 2 7.63826 | Symbole 3 7.85529 | Symbole 4 41.0367 | Symbole 5 145.4 | Symbole 6 143.033 |  => 0.257048 => Symbole 1
Component_57 =>Avion 24.9814 | Cercle 30.0993 | Demi Cercle 30.0993 | double fleche 22.2694 | fleche 30.0993 | Rectangle 3D 0.100386 | Rectangle H 30.0993 | Rectangle V 30.0993 | Rectangle V Empty 30.0993 | Symbole 1 30.0993 | Symbole 2 30.0993 | Symbole 3 30.0993 | Symbole 4 30.0993 | Symbole 5 26.9281 | Symbole 6 23.7674 |  => 0.100386 => Rectangle 3D
Component_58 =>Avion 3.16219 | Cercle 8.60167 | Demi Cercle 8.60167 | double fleche 6.33101 | fleche 8.60167 | Rectangle 3D 8.60167 | Rectangle H 8.60167 | Rectangle V 8.60167 | Rectangle V Empty 8.60167 | Symbole 1 8.60167 | Symbole 2 8.60167 | Symbole 3 8.60167 | Symbole 4 8.60167 | Symbole 5 4.81873 | Symbole 6 0.00720366 |  => 0.00720366 => Symbole 6
