nombre CCs detecte : 168
composant_62 =>Avion 10.2437 | Cercle 3.44494 | Demi Cercle 8.81181 | double fleche 73.0101 | fleche 19.8989 | Rectangle 3D 53.2556 | Rectangle H 5.76948 | Rectangle V 78.8095 | Rectangle V Empty 24.5906 | S 67.1687 | U 77.5235 | X 41.9399 | Z 15.7567 |  => 3.44494 => Cercle
composant_63 =>Avion 15.7567 | Cercle 3.03005 | Demi Cercle 8.76432 | double fleche 73.0235 | fleche 19.8243 | Rectangle 3D 53.1034 | Rectangle H 5.78783 | Rectangle V 78.9944 | Rectangle V Empty 24.6242 | S 67.2472 | U 77.6628 | X 41.9376 | Z 15.6729 |  => 3.03005 => Cercle
composant_64 =>Avion 15.6729 | Cercle 2.7034 | Demi Cercle 7.89398 | double fleche 73.9719 | fleche 21.058 | Rectangle 3D 54.3532 | Rectangle H 6.17251 | Rectangle V 79.6474 | Rectangle V Empty 23.5024 | S 66.1905 | U 76.4704 | X 40.9717 | Z 14.8519 |  => 2.7034 => Cercle
composant_65 =>Avion 14.8519 | Cercle 2.53046 | Demi Cercle 7.79978 | double fleche 73.9548 | fleche 20.9053 | Rectangle 3D 54.2494 | Rectangle H 6.15327 | Rectangle V 79.7819 | Rectangle V Empty 23.5707 | S 66.1608 | U 76.4833 | X 40.9363 | Z 14.7658 |  => 2.53046 => Cercle
composant_66 =>Avion 5.65242 | Cercle 11.0184 | Demi Cercle 11.0184 | double fleche 0.07714 | fleche 11.0184 | Rectangle 3D 11.0184 | Rectangle H 11.0184 | Rectangle V 11.0184 | Rectangle V Empty 11.0184 | S 11.0184 | U 11.0184 | X 11.0184 | Z 11.0184 |  => 0.07714 => double fleche
composant_67 =>Avion 11.0184 | Cercle 4.41311 | Demi Cercle 10.1035 | double fleche 71.6437 | fleche 18.3713 | Rectangle 3D 51.6995 | Rectangle H 4.77048 | Rectangle V 77.6743 | Rectangle V Empty 26.0477 | S 68.5438 | U 77.6743 | X 43.2785 | Z 17.0606 |  => 4.41311 => Cercle
composant_68 =>Avion 17.0606 | Cercle 1.06463 | Demi Cercle 6.93606 | double fleche 78.6911 | fleche 25.5371 | Rectangle 3D 58.868 | Rectangle H 7.64485 | Rectangle V 84.5665 | Rectangle V Empty 18.8706 | S 61.4496 | U 71.8851 | X 36.2077 | Z 10.017 |  => 1.06463 => Cercle
composant_69 =>Avion 10.017 | Cercle 3.76995 | Demi Cercle 9.44847 | double fleche 72.5054 | fleche 19.3127 | Rectangle 3D 52.6365 | Rectangle H 5.18181 | Rectangle V 78.3229 | Rectangle V Empty 25.2102 | S 67.8565 | U 78.2468 | X 42.5676 | Z 16.369 |  => 3.76995 => Cercle
composant_70 =>Avion 16.369 | Cercle 4.40882 | Demi Cercle 9.82428 | double fleche 72.0068 | fleche 18.9171 | Rectangle 3D 52.2653 | Rectangle H 4.7295 | Rectangle V 77.8036 | Rectangle V Empty 25.5437 | S 68.1624 | U 77.8036 | X 42.9487 | Z 16.758 |  => 4.40882 => Cercle
composant_71 =>Avion 16.758 | Cercle 6.77799 | Demi Cercle 63.8093 | double fleche 136.232 | fleche 82.5896 | Rectangle 3D 116.347 | Rectangle H 47.6457 | Rectangle V 143.315 | Rectangle V Empty 45.7143 | S 0.245635 | U 13.0739 | X 13.2268 | Z 35.6679 |  => 0.245635 => S
composant_72 =>Avion 35.6679 | Cercle 2.13493 | Demi Cercle 74.0476 | double fleche 146.054 | fleche 92.75 | Rectangle 3D 126.589 | Rectangle H 57.1541 | Rectangle V 152.759 | Rectangle V Empty 55.2188 | S 0.25607 | U 4.77101 | X 3.51841 | Z 45.6671 |  => 0.25607 => S
